Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Leto roc.  stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci
R2;410;1133;BISTRICA - TRZIC;0;320;555;Trzic;ROCNO;07x1;12.800;25;12.000;70;495;120;60;15;15
R2;410;1134;TRZIC - GOLNIK;0;6.500;556;Senicno;QLD6; ;2.607;38;2.391;2;134;18;19;4;1
R2;410;1134;GOLNIK - KOKRICA;6.500;13.671;258;Tenetise;QLD6; ;4.613;42;4.194;22;285;30;30;6;4
R2;410;1135;KOKRICA - KRANJ;0;2.234;;;P;;8.200;50;7.737;70;200;110;30;1;2
R2;411;1471;KRANJ Z  -  POLICA;0;733;;;P;;11.200;120;9.990;190;340;380;90;35;55
R2;411;1428;POLICA - NAKLO(MARINSEK);0;1.900;51;Naklo;QLD; ;9.580;103;8.404;88;576;169;175;27;38
R2;411;1428;NAKLO(MARINSEK) - PODTABOR;1.900;7.160;708;Podbrezje;QLD5; ;3.701;116;3.132;33;43;288;23;58;8
R2;411;1528;PODTABOR - GOBOVCE;0;1.487;;;P;;3.000;30;2.580;20;170;50;80;25;45
R2;411;1429;GOBOVCE - CRNIVEC;0;5.142;707;Dobro Polje;QLD3; ;2.602;7;2.065;14;244;60;136;31;45
R2;412;1454;POLICA - KR(KIDRICEVA);0;2.035;718;KR Zlato polje;QLD6; ;18.528;107;16.660;185;902;207;250;74;143
R2;412;0359;KRANJ(KIDRICEVA - ISKRA);0;1.559;717;KR Sejem;QLD; ;18.860;111;17.092;42;965;210;240;60;140
R2;412;0210;KR(ISKRA - LABORE);0;1.450;716;KR Labore;QLD6; ;19.545;108;17.516;275;906;234;250;89;167
R2;413;4704;MEDVODE - ZBILJE;0;1.166;;;P;;5.400;60;4.610;140;410;70;80;10;20
R2;413;1079;ZBILJE - VODICE;0;7.386;228;Valburga;QLD6; ;4.689;57;4.111;8;355;58;65;13;22
R2;413;1080;VODICE - MOSTE;0;4.350;229;Zeje;QLD; ;7.535;58;6.408;9;690;109;129;43;89
