Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
R1;217;1208;LIVOLD - BREZOVICA;0;16.230;466;Rajndol;QLD5;659;10;523;3;75;22;14;5;7;20;PLDP
R1;217;1209;BREZOVICA - DOBLICE;0;17.000;299;Brezovica pri Predgradu;R 09x1;60;5;38;2;10;5;0;0;0;2;PLDP
R1;217;1209;DOBLICE - KANIZARICA;17.000;19.930;300;Blatnik;QLD5;1.474;18;1.328;7;71;22;20;6;2;22;PLDP
R1;218;1211;METLIKA - PODZEMELJ;0;5.460;450;Podzemelj 3;R 09x4;3.650;20;3.350;25;140;60;20;15;20;55;PLDP
R1;218;1212;PODZEMELJ - CRNOMELJ;0;8.950;302;Podzemelj;QLD6;3.298;20;2.964;20;188;23;40;18;25;60;PLDP
R1;218;1152;CRNOMELJ ;0;730;;;P;9.800;35;9.220;30;300;140;40;15;20;83;PLDP
R1;218;1213;CRNOMELJ - (VINISKA C.-KOCEVJE);0;1.061;;;P;5.100;35;4.640;10;250;110;30;10;15;57;PLDP
R1;218;1394;CRNOMELJ - (KOCEVJE) - KANIZARICA;0;1.285;308;Kanizarica;QLD6;6.400;36;5.811;34;378;34;59;23;25;81;PLDP
R1;218;1214;KANIZARICA - VINICA;0;15.535;303;Dragatus;QLD6;2.607;24;2.341;24;156;16;29;8;9;43;WIM
R1;218;1153;VINICA ;0;160;;;P;2.000;20;1.848;20;60;15;25;6;6;32;PLDP
R1;218;1215;VINICA - MOST CEZ KOLPO;0;850;154;MP Vinica;QLTC10;1.088;17;974;6;69;6;3;6;7;13;PLDP
R1;219;1236;SL.BISTRICA - POLJCANE;0;8.496;125;Zg.Breznica;QLD*;5.306;45;4.542;22;379;68;92;52;106;187;DIST
R1;219;1410;POLJCANE ;0;700;;;P;6.400;40;5.475;30;430;150;130;55;90;198;PLDP
R1;219;1237;POLJCANE - PODPLAT;0;9.189;126;Podplat;QLD*;4.513;37;3.769;19;346;71;124;59;88;197;WIM
R1;219;1239;MESTINJE - GOLOBINJEK;0;14.779;128;Podcetrtek;QLD*;5.395;41;4.722;23;365;60;69;45;70;143;DIST
R1;219;1240;GOLOBINJEK - BISTRICA;0;8.996;412;Lastnic;QLD5;2.226;27;1.832;23;159;66;39;32;48;103;DIST
R1;219;1421;BISTRICA OB SOTLI;0;720;;;P;3.700;25;3.245;35;185;75;50;35;50;108;PLDP
R1;219;1241;BISTRICA - BIZELJSKO;0;6.805;413;Bizeljsko;QLD6;2.135;27;1.719;11;170;28;87;34;59;125;DIST
R1;219;1242;BIZELJSKO - BREZICE;0;16.000;129;Bukosek;QLD5;3.321;24;2.913;17;169;50;74;34;40;66;WIM
R1;219;1242;BREZICE - CATEZ;16.000;17.570;366;Brezice;QLTC10;13.374;80;11.902;85;885;126;109;57;130;152;DIST
R1;219;1480;CATEZ OB SAVI ;0;1.188;;;P;5.200;75;4.340;65;400;100;90;30;100;174;PLDP
R1;220;1334;KRSKO - SP.POHANCA;0;7.200;367;Dolenja vas;QLD*;5.904;36;5.296;42;317;46;74;37;56;122;PLDP
R1;220;1334;SP.POHANCA - BREZICE;7.200;12.715;738;Spodnja Pohanca;QLD*;4.892;30;4.416;24;258;38;57;24;45;89;PLDP
R1;221;1227;TROJANE - IZLAKE;0;6.652;314;Izlake;QLD*;6.508;46;5.897;40;383;26;35;23;58;67;WIM
R1;221;1218;IZLAKE - ZAGORJE;0;6.474;306;Kisovec;QLTC10;8.787;63;7.884;64;557;62;39;22;96;100;DIST
R1;221;1219;ZAGORJE - BEVSKO;0;5.358;307;Bevsko;QLD*;3.627;26;3.318;48;181;17;20;7;10;44;PLDP
R1;221;1220;BEVSKO - TRBOVLJE;0;3.123;582;Trbovlje;QLTC10;11.152;91;10.207;128;553;64;68;9;32;127;PLDP
R1;221;1221;TRBOVLJE - BOBEN - HRASTNIK;0;8.815;309;Hrastnik;R 08x4;500;40;423;2;30;3;2;0;0;2;PLDP
R1;221;1222;HRASTNIK - SMARJETA;0;9.650;310;Marno;QLD*;4.626;30;3.991;35;283;58;111;26;92;163;WIM
R1;222;1228;ZAGORJE - MOST CEZ SAVO;0;1.885;583;Zagorje-most;QLTC8;7.973;60;7.139;79;455;71;57;21;91;155;WIM
