Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip;;;
AC;A1;0154;RAZCEP NANOS;0;370;894;Razcep Nanos  - LJ;QLTC8;13.060;33;8.364;85;1.553;189;100;320;2.416;2.340;PLDP;;;
AC;A1;0154;RAZCEP NANOS;370;1.664;895;Razcep Nanos  - KP;QLTC8;2.187;8;1.790;18;234;40;14;10;73;96;PLDP;;;
AC;A1;0057;NANOS  -  SENOZECE;0;5.458;1023;Goli vrh AC;QLTC8;33.164;96;23.327;311;3.988;385;145;859;4.053;4.314;PLDP;;;
AC;A1;0155;PRIKLJ. SENOZECE ;0;1.780;818;CP Senozece;Prazno;1.700;70;834;20;370;40;45;170;151;299;PLDP;;;
AC;A1;0058;SENOZECE  -   GABRK;0;4.384;812;Cebulovica AC;QLTC8;33.806;90;24.563;321;3.654;332;162;693;3.991;4.128;PLDP;;;
AC;A1;0059;GABRK  -  DIVACA;0;2.873;2109;Divaca AC;QLTC8;25.089;65;19.842;126;2.400;200;121;413;1.922;2.065;PLDP;;;
AC;A1;0157;PRIKLJ. DIVACA;0;540;808;Priklj. Divaca -LJ;QLTC8;1.560;4;1.209;9;192;25;11;15;95;106;PLDP;;;
AC;A1;0157;PRIKLJ. DIVACA;540;2.079;809;Priklj. Divaca-KP;QLTC8;2.218;6;1.862;7;197;35;31;9;71;90;PLDP;;;
AC;A1;0060;DIVACA - KOZINA;0;7.151;2101;Kozina AC;QLTC8;25.747;67;20.495;124;2.405;210;141;407;1.898;2.047;PLDP;;;
AC;A1;0158;PRIKLJ. KOZINA - LJ;0;700;821;Priklj. Kozina-LJ;QLTC8;3.657;13;2.473;30;373;70;36;86;576;584;PLDP;;;
AC;A1;0158;PRIKLJ. KOZINA - KP;700;2.195;823;Priklj. Kozina-KP;QLTC8;3.808;14;3.117;24;322;59;17;38;217;244;PLDP;;;
AC;A1;0061;KOZINA - KASTELEC;0;8.598;893;Ravne AC;QLTC8;25.898;68;21.139;118;2.354;199;122;359;1.539;1.703;PLDP;;;
AC;A1;0061;KASTELEC - CRNI KAL;8.598;11.818;;;P;26.100;70;21.590;120;2.000;210;185;355;1.570;1.752;PLDP;;;
AC;A1;0062;CRNI KAL  -  RAZCEP SERMIN;0;6.662;803;Dekani AC;QLTC8;26.487;40;21.638;127;2.328;218;190;357;1.589;1.778;PLDP;;;
AC;A1;0062;RAZCEP SERMIN  -  H5;6.662;7.116;;;P;25.000;70;20.183;127;2.300;210;180;350;1.580;1.759;PLDP;;;
AC;A2;0001;MP KARAVANKE - HRUSICA;0;5.361;673;MT Karavanke;QLTC8;11.566;45;8.447;197;1.381;90;40;306;1.060;1.272;PLDP;;;
AC;A2;0002;HRUSICA - LIPCE;0;7.154;;;P;17.800;45;14.125;200;1.700;140;100;340;1.150;1.409;PLDP;;;
AC;A2;0003;LIPCE - LESCE;0;7.950;646;Lipce AC;QLTC8;23.889;44;19.479;221;2.294;193;125;367;1.166;1.483;PLDP;;;
AC;A2;0103;PRIKLJ. LESCE - JESENICE;0;545;810;Priklj. Lesce-Jesenice;QLTC8;5.428;27;4.739;42;482;39;20;18;61;111;PLDP;;;
AC;A2;0103;PRIKLJ. LESCE - KRANJ;545;1.133;811;Priklj. Lesce-Kranj;QLTC8;12.244;57;10.545;112;1.162;99;96;35;138;280;PLDP;;;
AC;A2;0004;LESCE - RADOVLJICA;0;3.780;2201;Lesce AC;QLTC8;30.705;74;25.285;291;2.974;253;201;384;1.243;1.654;PLDP;;;
AC;A2;0004;RADOVLJICA - BREZJE;3.780;6.713;;;P;36.400;80;30.285;295;3.600;300;200;390;1.250;1.679;PLDP;;;
AC;A2;0005;BREZJE - PODTABOR;0;5.002;;;P;37.800;90;31.475;310;3.700;350;220;395;1.260;1.723;PLDP;;;
AC;A2;0006;PODTABOR - NAKLO;0;3.567;;;P;48.000;100;41.440;320;3.850;370;250;400;1.270;1.759;PLDP;;;
AC;A2;0006;NAKLO - KRANJ Z;3.567;7.313;647;Naklo AC;QLTC8;43.700;134;37.062;316;3.884;410;270;394;1.230;1.738;PLDP;;;
AC;A2;0007;KRANJ Z - KRANJ V;0;5.674;;;P;40.000;130;33.150;300;4.000;440;240;390;1.350;1.818;PLDP;;;
AC;A2;0008;KRANJ V  -  BRNIK;0;3.900;;;P;44.500;90;38.115;315;3.800;340;180;400;1.260;1.714;PLDP;;;
AC;A2;0009;BRNIK  -  VODICE;0;5.246;850;Voglje AC;QLTC8;49.271;55;41.751;314;4.962;366;199;372;1.252;1.698;PLDP;;;
AC;A2;0010;VODICE  - LJ ( SMARTNO);0;6.968;853;Povodje AC;QLTC8;55.454;82;47.046;355;5.437;540;236;406;1.352;1.900;PLDP;;;
