Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;TIP;
R1;201;0203;KR.GORA - GOZD MARTULJEK;0;3.900;777;Kranjska Gora;QLTC10;5.262;14;4.664;60;429;44;41;4;6;61;PLDP;
R1;201;0203;GOZD MARTULJEK - MOJSTRANA-DOVJE;3.900;12.100;631;Gozd Martuljek;QLD5;5.712;115;5.058;84;294;81;63;10;7;94;PLDP;
R1;201;0204;DOVJE - MOJSTRANA-KRAJE;0;2.420;776;Dovje;QLD6;4.814;11;4.318;53;340;31;42;9;10;62;PLDP;
R1;201;0205;KRAJE - HRUSICA;0;4.030;902;Hrusica;QLD;7.289;126;6.452;84;488;57;54;13;15;92;PLDP;
R1;202;0234;MP RATECE - RATECE;0;1.380;658;MT Ratece;QLD5;2.414;98;2.137;15;116;24;17;2;5;24;PLDP;
R1;202;0233;RATECE - PODKOREN;0;2.926;778;Ratece;R 10x4;3.100;100;2.765;55;120;30;20;3;7;46;PLDP;
R1;203;1002;MP PREDEL - KLUZE;0;12.500;657;MT Predel;QLD5;674;106;475;7;53;14;17;1;1;16;PLDP;
R1;203;1002;KLUZE - BOVEC;12.500;14.904;536;Kluze;R 07x1;840;105;628;8;60;15;20;2;2;19;PLDP;
R1;203;1003;BOVEC(PO OBVOZNICI) - ZAGA;0;9.904;535;Bovec;QLD3;1.469;10;1.251;18;114;33;36;3;4;37;PLDP;
R1;203;1004;ZAGA - KOBARID;0;13.395;96;Srpenica;QLD;1.952;116;1.511;22;208;32;41;9;13;50;PLDP;
R1;204;1012;SEMPETER - VOLCJA DRAGA;0;2.800;262;Volcja Draga;QLD;9.194;97;8.547;27;420;60;35;4;4;46;PLDP;
R1;204;1012;VOLCJA DRAGA - DORNBERK;2.800;8.343;203;Prvacina;QLD6;5.663;88;5.139;24;316;45;37;6;8;46;PLDP;
R1;204;1013;DORNBERK - STANJEL;0;13.078;204;Branik;QLD3;2.196;75;1.920;10;147;24;15;3;2;20;PLDP;
R1;204;1014;STANJEL - DUTOVLJE;0;7.820;24;Kopriva;R 11x4;1.600;45;1.381;12;115;30;11;4;2;20;PLDP;
R1;204;1015;DUTOVLJE - SEZANA;0;7.890;205;Tomaj;QLD;3.205;73;2.824;14;185;51;44;4;10;47;PLDP;
R1;205;1026;DIVACA - LOKEV-LIPICA;0;8.668;418;MT Lipica;QLD5;5.694;248;5.037;7;337;40;18;1;6;24;PLDP;
R1;206;1027;KRANJSKA GORA  -  ERIKA;0;3.372;220;Erika;QLD3;601;47;498;7;31;11;5;2;0;9;PLDP;
R1;206;1043;RUSKA CESTA (ERIKA - VRSIC);0;8.978; ; ;P;360;60;250;4;30;10;5;1;0;7;PLDP;
R1;206;1028;VRSIC - TRENTA;0;8.960;197;Vrsic;QLD5;374;94;242;2;26;4;5;1;0;5;PLDP;
R1;206;1029;TRENTA - BOVEC;0;22.141;198;Koritnica;QLD5;1.116;105;871;6;99;16;17;1;1;16;PLDP;
R1;207;1057;GODOVIC - CRNI VRH;0;6.871;105;Godovic;QLD6;1.682;30;1.422;12;113;23;33;25;24;57;PLDP;
R1;207;1058;CRNI VRH - COL;0;9.602; ; ;P;1.350;25;1.115;10;100;20;35;25;20;54;PLDP;
R1;207;1413;COL - AJDOVSCINA;0;8.696;427;Budanje;QLD6;2.193;1;1.944;5;130;31;40;23;19;55;PLDP;
R1;208;1434;CRNI KAL  -  KORTINE;0;2.236;748;Crni Kal;QLD;3.076;175;2.703;20;116;27;26;2;7;33;PLDP;
R1;208;1059;KORTINE - GRACISCE;0;8.555;2;Kubed;QLD6;2.526;55;2.295;11;132;18;10;1;4;16;PLDP;
R1;208;1060;GRACISCE - SOCERGA;0;5.000;151;Gracisce;R 08x1;2.350;60;2.147;25;95;15;5;1;2;18;PLDP;
R1;208;1060;SOCERGA  -  MP  SOCERGA;5.000;8.453;502;MP Socerga;QLTC10;1.054;9;987;4;47;6;1;0;0;3;PLDP;
