Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A1;0154;RAZCEP NANOS;370;1.664;895;Razcep Nanos  - KP;QLTC8;2.300;8;1.874;10;257;38;20;13;80;100;PLDP
AC;A1;0057;NANOS  -  SENOZECE;0;5.458;1023;Goli vrh AC;QLTC8;34.854;47;25.719;304;3.876;328;173;667;3.740;3.907;PLDP
AC;A1;0155;PRIKLJ. SENOZECE ;0;1.780;818;CP Senozece;PRAZNO;1.800;45;965;20;380;60;50;150;130;274;PLDP
AC;A1;0058;SENOZECE  -   GABRK;0;4.384;812;Cebulovica AC;QLTC8;34.109;39;25.099;325;3.728;319;164;673;3.762;3.938;PLDP
AC;A1;0059;GABRK  -  DIVACA;0;2.873;2109;Divaca AC;QLTC10;25.777;65;20.429;137;2.523;207;129;408;1.879;2.039;PLDP
AC;A1;0157;PRIKLJ. DIVACA;0;540;808;Priklj. Divaca -LJ;QLTC8;1.903;6;1.404;11;230;34;14;28;176;187;PLDP
AC;A1;0157;PRIKLJ. DIVACA;540;2.079;809;Priklj. Divaca-KP;QLTC8;2.402;6;1.955;9;217;52;58;12;93;127;PLDP
AC;A1;0060;DIVACA - KOZINA;0;7.151;2101;Kozina AC;QLTC8;26.276;65;20.980;135;2.510;225;173;392;1.796;1.980;PLDP
AC;A1;0158;PRIKLJ. KOZINA - LJ;0;700;821;Priklj. Kozina-LJ;QLTC8;3.850;9;2.756;27;378;76;49;74;481;504;PLDP
AC;A1;0158;PRIKLJ. KOZINA - KP;700;2.195;823;Priklj. Kozina-KP;QLTC8;3.950;10;3.247;18;335;61;29;38;212;242;PLDP
AC;A1;0061;KOZINA - KASTELEC;0;8.598;893;Ravne AC;QLTC8;26.376;66;21.471;126;2.467;210;153;356;1.527;1.718;PLDP
AC;A1;0061;KASTELEC - CRNI KAL;8.598;11.818;;;P;26.700;70;21.710;130;2.460;215;210;355;1.550;1.759;PLDP
AC;A1;0062;CRNI KAL  -  RAZCEP SERMIN;0;6.662;803;Dekani AC;QLTC8;27.366;38;22.384;134;2.450;219;196;357;1.588;1.791;PLDP
AC;A1;0062;RAZCEP SERMIN  -  H5;6.662;7.116;;;P;26.000;65;21.050;135;2.420;210;190;350;1.580;1.774;PLDP
AC;A2;0001;MP KARAVANKE - HRUSICA;0;5.361;673;MT Karavanke;QLTC8;11.952;45;8.753;206;1.469;85;39;302;1.053;1.271;PLDP
AC;A2;0002;HRUSICA - LIPCE;0;7.154;;;P;18.400;45;14.660;210;1.800;130;90;335;1.130;1.394;PLDP
AC;A2;0003;LIPCE - LESCE;0;7.950;646;Lipce AC;QLTC8;24.686;42;20.205;227;2.425;184;103;362;1.138;1.457;PLDP
AC;A2;0103;PRIKLJ. LESCE - JESENICE;0;545;810;Priklj. Lesce-Jesenice;QLTC8;5.711;25;4.995;43;514;38;20;18;58;111;PLDP
AC;A2;0103;PRIKLJ. LESCE - KRANJ;545;1.133;811;Priklj. Lesce-Kranj;QLTC8;12.477;54;10.740;118;1.224;94;67;35;145;281;PLDP
