Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
AC;A3;0070;SEZANA Z - FERNETICI;0;1.570;653;O;QLD3;x;MP FERNETICI;6.428;34;5.696;194;504;0;0;0;173
AC;A3;0372;KAMIONSKA C. FERNETICI;0;1.994;653;B;QLD3;x;MP FERNETICI;899;0;0;0;0;113;88;698;175
HC;H1;1462;CRNIVEC-PODTABOR;0;5.840;50;O;;00x4;PERACICA;24.000;98;21.571;222;1.046;400;161;502;177
HC;H1;0209;PODTABOR-BISTRICA;0;3.500;647;P;;;;29.000;80;25.416;282;1.890;382;357;593;180
HC;H1;0219;BIC;0;800;870;P;;;;14.770;19;12.422;187;828;257;139;918;181
HC;H1;0220;BIC-TREBNJE;0;10.465;55;O;;02x4;TREBNJE 1;18.199;52;15.348;150;1.082;424;132;1.011;183
HC;H1;0221;TREBNJE-KARTELJEVO;0;14.730;634;O;QLD6;x;TREBNJE;15.749;22;12.732;186;1.200;220;286;1.103;185
HC;H1;0222;KARTELJEVO-MACKOVEC;0;4.025;634;P;;;;8.200;13;6.684;72;585;192;140;514;187
HC;H1;0223;MACKOVEC-OTOCEC;0;4.200;634;P;;;;14.700;22;11.980;128;1.050;346;252;922;189
HC;H1;0224;OTOCEC-DOBRUSKA VAS;0;8.025;602;O;QLD6;97x1;RUHNA VAS;13.637;22;11.305;146;744;274;220;926;191
HC;H1;0225;DOBRUSKA VAS-SMEDNIK;0;6.165;602;P;;;;13.200;22;10.899;142;753;299;214;871;193
HC;H1;0226;SMEDNIK-DRNOVO;0;7.475;602;P;;;;13.200;22;10.899;142;753;299;214;871;195
HC;H1;0227;DRNOVO-CATEZ;0;11.440;58;O;QLD6;x;DRNOVO 1;9.637;14;7.906;130;511;144;118;814;197
HC;H1;0228;CATEZ-MOKRICE;0;6.955;511;P;;;;8.100;2;7.411;87;138;94;29;339;199
HC;H1;0229;MOKRICE-OBREZJE;0;2.020;511;O;QLD3;x;MP OBREZJE;7.550;2;6.526;76;122;168;53;603;201
HC;H2;0032;PESNICA-MARIBOR;0;4.630;16;O;QLD6;99x4;MELJSKA HC;28.812;68;24.358;344;1.478;492;380;1.692;202
