Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;Dnevni NOO;Tip
R2;426;7949; REČICA - LETUŠ;4.220;5.795;176;Rečica ob Paki;QLD5;3.589;47;3.120;24;222;49;73;22;32;90;PLDP
R2;427;1351;LATKOVA VAS - PREBOLD;0;3.000;741;Latkova vas;QLD*;5.734;48;5.185;36;360;32;47;10;16;61;PLDP
R2;427;1351;PREBOLD - SPODNJE GABRSKO;3.000;17.800;439;Podmeja;QLD5;1.245;35;1.122;2;49;18;16;0;3;14;PLDP
R2;427;1351;SPODNJE GABRSKO - TRBOVLJE;17.800;19.617;;;P;6.200;40;5.865;50;130;40;40;15;20;71;PLDP
R2;428;1249;RADMIRJE - LUČE;0;12.165;202;Ljubno;QLD6;2.195;51;1.884;18;161;17;37;15;12;46;PLDP
R2;428;1250;LUČE - SESTRE LOGAR;0;13.800;201;Solčava;QLTC10;965;45;818;14;67;9;7;1;4;14;PLDP
R2;428;1252;S.LOGAR - PAVLIČEVO SEDLO;0;7.453;;;P;50;4;39;2;5;0;0;0;0;1;PLDP
R2;429;1245;VIŠNJA VAS - STRMEC;0;1.600;321;Višnja vas;QLD*;6.531;83;5.914;35;382;50;41;10;16;62;PLDP
R2;429;1245;STRMEC - DOBRNA;1.600;7.520;348;Lemberg;QLD6;3.752;55;3.365;28;226;25;30;10;13;46;PLDP
R2;429;1154;ODCEP V DOBRNO;0;1.695;;;P;2.950;55;2.664;25;150;25;15;6;10;33;PLDP
R2;429;1422;DOBRNA - ČRNOVA;0;3.400;320;Črnova 2;QLTC10;3.744;56;3.349;10;236;35;33;9;16;43;PLDP
R2;430;1558;MB (PTUJSKA - STRELIŠKA CESTA);0;1.306;;;P;20.600;80;18.095;220;1.300;270;125;100;410;529;PLDP
R2;430;0273;MB(TRŽAŠKA) - HOČE;0;3.279;;;P;35.600;120;32.040;230;2.050;365;215;130;450;641;PLDP
R2;430;0381;HOČE  - SLIVNICA;0;965;17;Hoče;QLTC8;31.490;127;27.889;172;2.229;320;184;109;460;585;PLDP
