Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.
G1;7;0355;PODGRAD-OBROV;0;5.900;503;P; ; ; ;6.200;64;5.386;50;180;150;50;320
G1;7;0354;OBROV-KOZINA;0;14.500;604;O;QLD6; ;GRADIŠČE;6.341;76;5.379;72;315;82;40;377
G1;7;0353;KOZINA-MP KRVAVI POTOK;0;3.340;652;O;QLD3; ;MP KRVAVI POTOK;4.711;12;4.127;58;230;108;72;104
G1;8;0207;VRBA-LESCE;0;1.407;646;P; ; ; ;20.000;99;17.384;168;1.256;332;201;560
G1;8;0208;LESCE-ČRNIVEC;0;6.400;632;O;QLD6;03x1;RADOVLJICA;25.669;106;22.775;330;1.308;328;234;588
G1;8;0213;LJ(ŠENTVID - OBVOZNICA);0;2.900;725;O;QLD6; ;LJ CELOVŠKA DRAVLJE;58.884;130;53.434;776;2.452;647;526;919
G1;9;0352;HAJDINA-JUROVCI;0;6.040;682;P; ; ; ;10.000;25;8.504;154;481;110;90;636
G1;9;0362;JUROVCI;0;1.000;682;P; ; ; ;10.000;26;8.593;140;400;101;80;660
G1;9;0351;JUROVCI-PODLEHNIK;0;4.200;682;O;QLD6;03x1;JUROVCI;9.203;24;7.866;133;385;92;71;632
G1;9;0351;PODLEHNIK - MP GRUŠKOVJE;4.200;11.052;518;O;QLD3;03x1;MP GRUŠKOVJE;7.281;47;6.039;63;466;98;16;552
G1;10;0292;TROJANE-BLAGOVICA;0;9.351;72;O;QLD6; ;TROJANE;21.329;54;16.053;230;1.504;550;872;2.066
G1;10;1499;KLANEC-KASTELEC;0;5.190;614;O;QLD6; ;PETRINJE;16.406;124;13.720;138;1.094;264;256;810
G1;10;0312;KASTELEC-RIŽANA;0;6.230;614;P; ; ; ;17.000;119;14.316;128;1.094;343;214;786
G1;10;0313;RIŽANA-KRIŽ.DEKANI;0;5.900;79;O;QLD6; ;DEKANI;19.224;124;15.991;141;1.016;459;658;834
G1;11;0235;MP ŠKOFIJE-ŠKOFIJE;0;1.000;651;O;QLD3; ;MP ŠKOFIJE;10.117;126;9.103;80;550;57;41;160
G1;11;0235;ŠKOFIJE-KRIŽ. DEKANI;1.000;3.545;686;O;QLD6; ;SP ŠKOFIJE;18.073;144;16.898;104;627;118;38;144
G1;11;1062;KOPER-ŠMARJE;0;6.000;149;O;QLD6;03x1;KOPER;12.702;119;11.834;50;474;111;40;74
G1;11;1062;ŠMARJE-DRAGONJA;6.000;13.650;150;O;;03x1;PESJANCI;6.308;106;5.771;37;235;31;44;84
G1;11;1062;DRAGONJA-MP DRAGONJA;13.650;14.665;14;O;QLD3; ;MP DRAGONJA;5.888;38;5.626;9;139;21;11;44
G1;11;1475;SLAVČEK- KOPER;0;700;11;P; ; ; ;24.800;106;22.209;126;1.188;373;378;420
G1;11;1475;KOPER-LUKA KOPER;700;2.275;11;P; ; ; ;4.600;8;3.234;30;410;116;372;430
G1;12;0344;RAZDRTO;0;50;819;O;QLD6; ;CP NANOS;5.336;10;3.389;60;401;162;130;1.184
G1;12;0344;RAZDRTO-MANČE;50;11.641;644;O;QLD6; ;PODGRIČ;6.581;28;4.227;50;416;226;278;1.356
G1;12;0345;MANČE-VIPAVA;0;1.375;635;P; ; ; ;7.500;20;5.155;55;430;230;260;1.350
G2;101;0232;MP LJUBELJ-BISTRICA(TRŽIČ);0;12.500;660;O;QLD3; ;MP LJUBELJ;1.834;45;1.704;23;20;42;0;0
G2;101;0231;BISTRICA(TRŽIČ)-ZVIRČE;0;3.280;3;O;QLD6;03x1;KOVOR;6.977;40;6.411;18;340;84;56;28
G2;101;0230;ZVIRČE-PODTABOR;0;1.455;3;P; ; ; ;7.000;56;6.394;20;350;90;60;30
