Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;NOO;Tip
R1;219;1239;MESTINJE - GOLOBINJEK;0;14.779;128;Podčetrtek;QLD6;5.548;46;4.851;24;351;69;86;49;72;1.419.625;PLDP
R1;219;1240;GOLOBINJEK - BISTRICA;0;8.996;412;Lastnič;QLD5;2.265;29;1.854;22;162;69;40;34;55;983.162;PLDP
R1;219;1421;BISTRICA OB SOTLI;0;720;;;P;3.800;30;3.290;45;210;85;50;35;55;1.168.298;PLDP
R1;219;1241;BISTRICA - BIZELJSKO;0;6.805;413;Bizeljsko;QLD6;1.965;29;1.586;10;164;37;54;35;50;913.487;PLDP
R1;219;1242;BIZELJSKO - BREŽICE;0;16.000;129;Bukošek;QLD6;3.302;24;2.940;8;189;30;41;33;37;733.079;PLDP
R1;219;1242;BREŽICE - ČATEŽ;16.000;17.570;366;Brežice;QLD;12.052;84;10.748;75;760;135;106;62;82;2.009.373;PLDP
R1;219;1480;ČATEŽ OB SAVI ;0;1.188;;;P;5.100;80;4.260;65;400;110;80;40;65;1.545.289;PLDP
R1;220;1334;KRŠKO - SP.POHANCA;0;7.200;367;Dolenja vas;QLD6;6.046;42;5.430;42;306;47;99;36;44;1.261.612;PLDP
R1;220;1334;SP.POHANCA - BREŽICE;7.200;12.715;738;Trebež;R 09x4;5.800;60;5.290;35;240;80;30;30;35;860.982;PLDP
R1;221;1227;TROJANE - IZLAKE;0;6.652;314;Izlake;QLD6;6.320;54;5.556;41;438;40;52;51;88;1.111.712;WIM
R1;221;1218;IZLAKE - ZAGORJE;0;6.474;306;Kisovec;QLD6;8.810;53;7.895;63;483;80;81;58;97;1.694.592;DIST
R1;221;1219;ZAGORJE - BEVŠKO;0;5.358;307;Bevško;QLD;3.531;26;3.241;49;174;17;15;8;1;371.765;PLDP
R1;221;1220;BEVŠKO - TRBOVLJE;0;3.123;582;Trbovlje;QLD6;12.729;90;11.781;130;520;84;67;25;32;1.405.192;PLDP
R1;221;1221;TRBOVLJE - HRASTNIK;0;8.967;309;Hrastnik;R 08x4;400;40;334;1;20;3;2;0;0;20.156;PLDP
R1;221;1222;HRASTNIK - ŠMARJETA;0;9.650;310;Marno;QLD6;4.790;36;4.110;39;283;68;108;28;118;1.749.834;DIST
R1;222;1228;ZAGORJE - MOST ČEZ SAVO;0;1.885;583;Zagorje-most;QLD6;7.997;52;7.142;88;402;93;86;36;98;1.819.011;PLDP
